"identifier","voertuigen","jaar","maand","wegcategorie","naam","stad"
"12653001796","55150.0","2010","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","49531.0","2010","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55325.0","2010","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56858.0","2010","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56730.0","2010","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","52420.0","2010","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","49894.0","2011","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54461.0","2011","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56425.0","2011","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54605.0","2011","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57192.0","2011","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","52354.0","2011","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","46628.0","2011","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","46180.0","2011","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56090.0","2011","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56313.0","2011","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54900.0","2011","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","51435.0","2012","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","52668.0","2012","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55774.0","2012","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53382.0","2012","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55070.0","2012","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55869.0","2012","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","51547.0","2012","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53911.0","2012","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56093.0","2012","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56516.0","2012","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53714.0","2012","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","49777.0","2013","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","51903.0","2013","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","52957.0","2013","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","52902.0","2013","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54228.0","2013","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55721.0","2013","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53843.0","2013","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53645.0","2013","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56737.0","2013","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57712.0","2013","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53545.0","2013","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
